Source,Target,Weight
1,2,0.79623
1,3,10.65551
1,4,1.8515
1,5,1.44884
1,6,2.01057
1,7,1.46101
1,8,2.53429
1,9,0.3222
1,10,1.44955
1,11,0.84581
1,12,2.31806
1,13,0.59211
1,14,0.86224
1,15,4.11409
1,16,5.11686
1,17,1.95726
1,18,1.09453
1,19,0.38043
1,20,0.24445
1,21,0.05775
1,22,0.48895
1,23,1.91568
1,24,0.25386
1,25,0.20779
1,26,0.01622
1,27,1.05716
1,28,0.78071
1,29,0.09024
1,30,0.13566
1,31,0.29154
2,1,0.31093
2,3,6.73534
2,4,0.87434
2,5,0.75418
2,6,0.83133
2,7,0.75116
2,8,1.51642
2,9,0.09276
2,10,0.5682
2,11,0.34844
2,12,1.02298
2,13,0.23927
2,14,0.22739
2,15,3.45197
2,16,2.14067
2,17,0.69547
2,18,0.29594
2,19,0.14952
2,20,0.10846
2,21,0.03539
2,22,0.15759
2,23,0.68748
2,24,0.16079
2,25,0.08895
2,26,0.00612
2,27,0.4154
2,28,0.47899
2,29,0.06217
2,30,0.07645
2,31,0.14704
3,1,0.12517
3,2,0.12982
3,4,0.14775
3,5,0.22087
3,6,0.21203
3,7,0.15369
3,8,0.39438
3,9,0.00799
3,10,0.07146
3,11,0.04935
3,12,0.10025
3,13,0.03098
3,14,0.03262
3,15,0.24535
3,16,0.31965
3,17,0.10271
3,18,0.05519
3,19,0.0185
3,20,0.04058
3,21,0.00587
3,22,0.03197
3,23,0.23285
3,24,0.04639
3,25,0.03821
3,26,0.00188
3,27,0.10175
3,28,0.05979
3,29,0.01297
3,30,0.008
3,31,0.02116
4,1,0.04169
4,2,0.01391
4,3,0.59077
4,5,0.26065
4,6,0.09748
4,7,0.06027
4,8,0.06467
4,9,0.01121
4,10,0.10668
4,11,0.07801
4,12,0.12586
4,13,0.06012
4,14,0.03479
4,15,0.19153
4,16,0.58888
4,17,0.11769
4,18,0.06493
4,19,0.01699
4,20,0.01797
4,21,0.00653
4,22,0.04307
4,23,0.2168
4,24,0.03724
4,25,0.04655
4,26,0.00141
4,27,0.16116
4,28,0.0385
4,29,0.00981
4,30,0.0048
4,31,0.01006
5,1,0.06088
5,2,0.06867
5,3,1.48329
5,4,0.9362
5,6,0.98345
5,7,0.59318
5,8,1.07346
5,9,0.01077
5,10,0.15855
5,11,0.09247
5,12,0.16798
5,13,0.06331
5,14,0.0547
5,15,0.75493
5,16,0.45142
5,17,0.12475
5,18,0.07084
5,19,0.02242
5,20,0.01653
5,21,0.00489
5,22,0.05586
5,23,0.35609
5,24,0.04128
5,25,0.03522
5,26,0.00151
5,27,0.6911
5,28,0.60664
5,29,0.0241
5,30,0.19096
5,31,0.01424
6,1,0.03271
6,2,0.06846
6,3,0.42436
6,4,0.06787
6,5,0.56189
6,7,1.03592
6,8,1.70112
6,9,0.02008
6,10,0.1543
6,11,0.0825
6,12,0.20082
6,13,0.05522
6,14,0.0396
6,15,0.96699
6,16,0.33292
6,17,0.10019
6,18,0.06199
6,19,0.03173
6,20,0.01653
6,21,0.00536
6,22,0.04266
6,23,0.22027
6,24,0.02512
6,25,0.01599
6,26,0.00294
6,27,0.05073
6,28,0.03739
6,29,0.01016
6,30,0.00701
6,31,0.02361
7,1,0.01842
7,2,0.01638
7,3,0.21026
7,4,0.03767
7,5,0.18545
7,6,0.58809
7,8,0.68907
7,9,0.01078
7,10,0.08965
7,11,0.05727
7,12,0.0911
7,13,0.02959
7,14,0.02183
7,15,1.27951
7,16,0.12932
7,17,0.06581
7,18,0.03148
7,19,0.01501
7,20,0.00988
7,21,0.00972
7,22,0.01395
7,23,0.06331
7,24,0.01341
7,25,0.01172
7,26,0.00184
7,27,0.02085
7,28,0.01427
7,29,0.0087
7,30,0.00486
7,31,0.01317
8,1,0.02326
8,2,0.03285
8,3,0.37875
8,4,0.03304
8,5,0.27518
8,6,0.9296
8,7,0.87393
8,9,0.01544
8,10,0.14069
8,11,0.04534
8,12,0.16834
8,13,0.02384
8,14,0.02323
8,15,2.1363
8,16,0.1757
8,17,0.05801
8,18,0.04098
8,19,0.01844
8,20,0.01111
8,21,0.00566
