Nodes,Id,Label
Beijing,1,Beijing
Tianjin,2,Tianjin
Hebei,3,Hebei
Shanxi,4,Shanxi
Inner Mongolia,5,Inner Mongolia
Liaoning,6,Liaoning
Jilin,7,Jilin
Heilongjiang,8,Heilongjiang
Shanghai,9,Shanghai
Jiangsu,10,Jiangsu
Zhejiang,11,Zhejiang
Anhui,12,Anhui
Fujian,13,Fujian
Jiangxi,14,Jiangxi
Shandong,15,Shandong
Henan,16,Henan
Hubei,17,Hubei
Hunan,18,Hunan
Guangdong,19,Guangdong
guangxi,20,guangxi
Hainan,21,Hainan
Chongqing,22,Chongqing
Sichuan,23,Sichuan
Guizhou,24,Guizhou
Yunnan,25,Yunnan
Tibet,26,Tibet
Shaanxi,27,Shaanxi
Gansu,28,Gansu
Qinghai,29,Qinghai
Ningxia,30,Ningxia
Xinjiang,31,Xinjiang
